players_name,Date,Player team,Opponent,Map,K - D,+/-,rating
zywoo,14/12/25,Vitality (13),FaZe (2),ovp,14 - 6,8,1.7
zywoo,14/12/25,Vitality (13),FaZe (9),inf,16 - 12,4,1.06
zywoo,14/12/25,Vitality (13),FaZe (3),d2,17 - 8,9,1.6
zywoo,14/12/25,Vitality (6),FaZe (13),nuke,11 - 13,-2,0.83
zywoo,13/12/25,Vitality (13),Spirit (8),d2,18 - 9,9,1.42
zywoo,13/12/25,Vitality (19),Spirit (17),mrg,25 - 23,2,1.08
zywoo,11/12/25,Vitality (13),The MongolZ (4),d2,21 - 10,11,1.74
zywoo,11/12/25,Vitality (13),The MongolZ (5),mrg,25 - 8,17,2.47
zywoo,6/12/25,Vitality (13),Natus Vincere (11),trn,21 - 15,6,1.43
zywoo,6/12/25,Vitality (13),Natus Vincere (11),inf,19 - 15,4,1.26
zywoo,5/12/25,Vitality (13),B8 (2),inf,17 - 8,9,2.05
zywoo,4/12/25,Vitality (13),3DMAX (4),nuke,12 - 7,5,1.16
zywoo,4/12/25,Vitality (7),FaZe (13),nuke,18 - 17,1,1.11
zywoo,15/11/25,Vitality (7),Falcons (13),nuke,18 - 12,6,1.68
zywoo,15/11/25,Vitality (13),Falcons (16),inf,19 - 16,3,1.14
zywoo,14/11/25,Vitality (16),Spirit (13),mrg,24 - 13,11,1.62
zywoo,14/11/25,Vitality (19),Spirit (16),nuke,33 - 25,8,1.41
zywoo,14/11/25,Vitality (11),Spirit (13),d2,13 - 15,-2,0.78
zywoo,13/11/25,Vitality (5),FURIA (13),inf,7 - 13,-6,0.96
zywoo,13/11/25,Vitality (16),FURIA (13),ovp,20 - 17,3,1.03
zywoo,13/11/25,Vitality (11),FURIA (13),nuke,20 - 16,4,1.19
zywoo,12/11/25,Vitality (13),TYLOO (11),inf,19 - 16,3,1.38
zywoo,12/11/25,Vitality (4),TYLOO (13),nuke,9 - 15,-6,0.86
zywoo,12/11/25,Vitality (13),TYLOO (2),ovp,14 - 7,7,1.69
zywoo,9/11/25,Vitality (11),FURIA (13),ovp,16 - 17,-1,1.08
zywoo,9/11/25,Vitality (10),FURIA (13),inf,21 - 16,5,1.36
zywoo,9/11/25,Vitality (11),FURIA (13),anc,15 - 16,-1,1.05
zywoo,8/11/25,Vitality (13),MOUZ (10),inf,19 - 14,5,1.48
zywoo,8/11/25,Vitality (11),MOUZ (13),trn,14 - 16,-2,0.93
zywoo,8/11/25,Vitality (16),MOUZ (13),nuke,30 - 16,14,1.75
zywoo,7/11/25,Vitality (13),Astralis (7),mrg,19 - 11,8,1.64
zywoo,7/11/25,Vitality (14),Astralis (16),nuke,19 - 19,0,0.94
zywoo,7/11/25,Vitality (13),Astralis (7),inf,15 - 11,4,1.33
zywoo,5/11/25,Vitality (13),G2 (11),mrg,16 - 14,2,1.02
zywoo,5/11/25,Vitality (13),G2 (4),trn,25 - 7,18,2.43
zywoo,5/11/25,Vitality (13),Lynn Vision (5),nuke,14 - 11,3,1.39
zywoo,5/11/25,Vitality (13),Lynn Vision (2),d2,12 - 5,7,1.38
zywoo,4/11/25,Vitality (19),MOUZ (22),inf,36 - 29,7,1.38
zywoo,4/11/25,Vitality (13),MOUZ (8),nuke,21 - 10,11,1.82
zywoo,4/11/25,Vitality (3),MOUZ (13),trn,10 - 13,-3,0.95
zywoo,3/11/25,Vitality (13),Virtus.pro (4),mrg,18 - 3,15,2.05
zywoo,3/11/25,Vitality (13),Virtus.pro (11),d2,12 - 12,0,1.13
zywoo,3/11/25,Vitality (9),Virtus.pro (13),ovp,8 - 15,-7,0.62
zywoo,12/10/25,Vitality (13),Falcons (5),d2,12 - 10,2,1.17
zywoo,12/10/25,Vitality (13),Falcons (9),trn,17 - 9,8,1.12
zywoo,12/10/25,Vitality (13),Falcons (10),inf,13 - 8,5,0.99
zywoo,11/10/25,Vitality (13),FaZe (8),d2,22 - 8,14,1.88
zywoo,11/10/25,Vitality (13),FaZe (9),inf,16 - 15,1,1.33
zywoo,11/10/25,Vitality (20),FaZe (22),mrg,39 - 25,14,1.51
zywoo,10/10/25,Vitality (13),FURIA (7),nuke,23 - 11,12,1.68
zywoo,10/10/25,Vitality (13),FURIA (7),inf,18 - 13,5,1.35
zywoo,10/10/25,Vitality (9),FURIA (13),ovp,19 - 19,0,1.1
zywoo,7/10/25,Vitality (16),G2 (13),mrg,25 - 22,3,1.14
zywoo,7/10/25,Vitality (13),G2 (2),inf,12 - 4,8,1.51
zywoo,6/10/25,Vitality (13),HOTU (5),d2,9 - 9,0,0.9
zywoo,6/10/25,Vitality (13),HOTU (8),ovp,20 - 10,10,1.59
zywoo,5/10/25,Vitality (13),GamerLegion (1),d2,21 - 8,13,2.47
zywoo,5/10/25,Vitality (13),GamerLegion (3),ovp,19 - 5,14,1.77
zywoo,4/10/25,Vitality (11),Gentle Mates (13),trn,15 - 13,2,0.98
zywoo,4/10/25,Vitality (6),Gentle Mates (13),nuke,14 - 14,0,0.91
zywoo,7/9/25,Vitality (6),G2 (13),trn,11 - 16,-5,0.85
zywoo,7/9/25,Vitality (12),G2 (16),inf,17 - 22,-5,0.72
zywoo,7/9/25,Vitality (13),G2 (6),ovp,20 - 10,10,1.9
zywoo,7/9/25,Vitality (13),G2 (6),mrg,30 - 6,24,2.61
zywoo,7/9/25,Vitality (3),G2 (13),d2,9 - 13,-4,1.03
zywoo,6/9/25,Vitality (13),MOUZ (8),inf,19 - 12,7,1.56
zywoo,6/9/25,Vitality (13),MOUZ (7),mrg,16 - 9,7,1.32
zywoo,1/9/25,Vitality (13),FaZe (5),inf,21 - 10,11,1.6
zywoo,1/9/25,Vitality (19),FaZe (16),nuke,16 - 22,-6,0.92
zywoo,1/9/25,Vitality (17),FaZe (19),mrg,26 - 26,0,1.03
zywoo,29/8/25,Vitality (13),GamerLegion (4),nuke,12 - 7,5,1.55
zywoo,29/8/25,Vitality (7),GamerLegion (13),inf,13 - 13,0,1.08
zywoo,29/8/25,Vitality (13),GamerLegion (9),trn,21 - 11,10,1.5
zywoo,27/8/25,Vitality (13),M80 (10),inf,13 - 14,-1,1.27
zywoo,27/8/25,Vitality (13),M80 (7),d2,24 - 13,11,1.73
zywoo,27/8/25,Vitality (3),M80 (13),ovp,6 - 12,-6,0.49
zywoo,24/8/25,Vitality (3),Falcons (13),nuke,12 - 15,-3,0.97
zywoo,24/8/25,Vitality (3),Falcons (13),trn,10 - 14,-4,0.87
zywoo,24/8/25,Vitality (13),Falcons (9),inf,9 - 13,-4,0.72
zywoo,23/8/25,Vitality (7),The MongolZ (13),nuke,14 - 14,0,1.2
zywoo,23/8/25,Vitality (13),The MongolZ (9),d2,11 - 14,-3,0.81
zywoo,23/8/25,Vitality (8),The MongolZ (13),mrg,17 - 15,2,1.33
zywoo,21/8/25,Vitality (13),TYLOO (8),nuke,20 - 12,8,1.45
zywoo,21/8/25,Vitality (13),TYLOO (4),inf,24 - 7,17,2.73
zywoo,20/8/25,Vitality (19),Liquid (16),d2,24 - 20,4,1.18
zywoo,20/8/25,Vitality (13),Liquid (11),mrg,27 - 14,13,1.95
zywoo,16/8/25,Vitality (11),The MongolZ (13),inf,17 - 16,1,0.96
zywoo,16/8/25,Vitality (7),The MongolZ (13),mrg,15 - 13,2,1.13
zywoo,15/8/25,Vitality (19),Liquid (16),nuke,30 - 21,9,1.34
zywoo,15/8/25,Vitality (16),Liquid (13),trn,25 - 17,8,1.13
zywoo,10/8/25,Vitality (13),Legacy (8),d2,15 - 11,4,1.32
zywoo,10/8/25,Vitality (16),Legacy (12),mrg,25 - 15,10,1.42
zywoo,8/8/25,Vitality (13),NRG (4),d2,15 - 6,9,1.55
zywoo,8/8/25,Vitality (13),NRG (5),mrg,23 - 5,18,1.97
zywoo,2/8/25,Vitality (8),MOUZ (13),trn,13 - 18,-5,0.79
zywoo,2/8/25,Vitality (9),MOUZ (13),mrg,8 - 19,-11,0.45
zywoo,29/7/25,Vitality (13),The MongolZ (8),inf,20 - 12,8,1.64
zywoo,29/7/25,Vitality (13),The MongolZ (5),mrg,23 - 9,14,1.78
zywoo,27/7/25,Vitality (13),G2 (10),trn,23 - 15,8,1.45
zywoo,27/7/25,Vitality (13),G2 (5),inf,10 - 10,0,0.9
zywoo,26/7/25,Vitality (13),Astralis (8),ovp,12 - 12,0,1.01
zywoo,26/7/25,Vitality (13),Astralis (11),nuke,19 - 19,0,1.12
zywoo,22/6/25,Vitality (13),The MongolZ (6),inf,10 - 10,0,0.97
zywoo,22/6/25,Vitality (13),The MongolZ (4),d2,18 - 8,10,1.97
zywoo,22/6/25,Vitality (5),The MongolZ (13),mrg,9 - 16,-7,0.69
zywoo,21/6/25,Vitality (13),MOUZ (6),trn,21 - 10,11,1.77
zywoo,21/6/25,Vitality (4),MOUZ (13),inf,18 - 15,3,1.51
zywoo,21/6/25,Vitality (13),MOUZ (8),mrg,14 - 7,7,1.15
zywoo,20/6/25,Vitality (13),Natus Vincere (11),nuke,24 - 16,8,1.49
zywoo,20/6/25,Vitality (13),Natus Vincere (9),mrg,17 - 11,6,1.4
zywoo,14/6/25,Vitality (13),Virtus.pro (6),d2,22 - 6,16,1.81
zywoo,14/6/25,Vitality (13),Virtus.pro (6),trn,16 - 9,7,1.51
zywoo,13/6/25,Vitality (13),3DMAX (2),nuke,15 - 4,11,1.98
zywoo,13/6/25,Vitality (13),Nemiga (6),d2,22 - 11,11,1.46
